ID,Hidrometro,Matricula,Situacao,Categoria,Setor de Planejamento DPAE,Setor de Planejamento DPAE - Descrição,Setor de Abastecimento CGA,Setor de Abastecimento CGA_1,Cidade,Campus,Local,Observacao ,Num Hidrometro,Cobranca,Ligacao rede de esgoto,Identificacao,Concessionaria,Consumo médio dos últimos 6 meses (m3) - ref 9_2024,Atualizacao_Cadastro
89,H112,,Ativo,Medidor faturado pela UFSC,Joinville - Perini B. P.,Joinville - Perini B. P.,Setor 24,SubSetor 23.01,Joinville,Joinville - Perini B. P.,Tunel de Vento - LAB 01,Condomínio Perini,,Água e Esgoto,Sim,SPA Interessado: Condomínio Perini Business Park,Condomínio Perini,2.7,2024-10-15
90,H113,,Ativo,Medidor faturado pela UFSC,Joinville - Perini B. P.,Joinville - Perini B. P.,Setor 24,SubSetor 23.01,Joinville,Joinville - Perini B. P.,Bloco U - U LAB,Condomínio Perini,,Água e Esgoto,Sim,SPA Interessado: Condomínio Perini Business Park,Condomínio Perini,,2024-10-15
91,H130,,Ativo,Medidor faturado pela UFSC,Florianópolis - Outros,Sapiens Park,Setor 24,SubSetor 24.01,Florianópolis - Outros,Sapiens Park,Sapiens Park - INPETRO,Condomínio Sapiens Park,,Água e Esgoto,Sim,SPA Assunto: Sapiens Park,Condomínio Sapiens Park,0.0,2024-10-15
92,H131,,Ativo,Medidor faturado pela UFSC,Florianópolis - Outros,Sapiens Park,Setor 24,SubSetor 24.02,Florianópolis - Outros,Sapiens Park,Sapiens Park - Fotovoltaica,Condomínio Sapiens Park,,Água e Esgoto,Sim,SPA Assunto: Sapiens Park,Condomínio Sapiens Park,0.0,2024-10-15
93,H200,15431797.0,Ativo,Medidor faturado pela UFSC,Curitibanos,Centro,Setor 19,SubSetor 19.01,Curitibanos,Centro,Curitibanos CEDUP,Fatura Individual,B17C003784,Água,Não,83.899.526/0001-82,CASAN,103.5,2024-10-15
94,H201,,Interno,Medidor não instalado,Curitibanos,Área Sede,Setor 19,SubSetor 19.02,Curitibanos,Área Sede,Curitibanos SEDE - Água Subterrânea,Não faturado,,Sem cobrança,Não,83.899.526/0001-82,Interno,0.0,2024-10-15
95,H202,,Interno,Medidor não instalado,Curitibanos,Área Sede,Setor 19,SubSetor 19.02,Curitibanos,Área Sede,Curitibanos SEDE - ETE,Não faturado,,Sem cobrança,Não,83.899.526/0001-82,Interno,0.0,2024-10-15
96,H300,196916.0,Ativo,Medidor faturado pela UFSC,Araranguá,Araranguá,Setor 20,SubSetor 20.02,Araranguá,Araranguá,SAMAE Araranguá  Mato Alto,Fatura Individual,A15L279126,Água,Não,83.899.526/0001-82,SAMAE ARARANGUÁ,33.5,2024-10-15
97,H301,104043.0,Desativado,Medidor faturado pela UFSC,Araranguá,Araranguá,Setor 20,SubSetor 20.01,Araranguá,Araranguá,SAMAE Araranguá  Campo de Futebol,Fatura Individual,A14S540581,Água,Não,83.899.526/0001-82,SAMAE ARARANGUÁ,,2024-10-15
98,H302,107568.0,Ativo,Medidor faturado pela UFSC,Araranguá,Araranguá,Setor 20,SubSetor 20.01,Araranguá,Araranguá,SAMAE Araranguá  R. Pedro M. Pacheco (Medicina),Fatura Individual,A22LN0055338,Água e Esgoto,Sim,83.899.526/0001-82,SAMAE ARARANGUÁ,10.5,2024-10-15
99,H400,89548.0,Desativado 04/2018,Medidor faturado pela UFSC,Blumenau,Blumenau,Setor 22,SubSetor 22.03,Blumenau,Blumenau,"R. Pomerode, 710 - Blumenau",Fatura Individual,,Água e Esgoto,Sim,Matrícula: 89548,SAMAE BLUMENAU,,2024-10-15
100,H401,38988.0,Ativo,Medidor faturado pela UFSC,Blumenau,Blumenau,Setor 22,SubSetor 22.01,Blumenau,Blumenau,"SAMAE Blumenau  Rua João Pessoa, 2750",Fatura Individual,A12S141289,Água e Esgoto,Sim,Matrícula: 38988,SAMAE BLUMENAU,67.17,2024-10-15
101,H402,55308.0,Ativo,Medidor faturado pela UFSC,Blumenau,Blumenau,Setor 22,SubSetor 22.02,Blumenau,Blumenau,"SAMAE Blumenau  Rua João Pessoa, 2514",Fatura Individual,Y17AA00025980,Água e Esgoto,Sim,Matrícula: 55308,SAMAE BLUMENAU,20.67,2024-10-15
102,M002,,Interno,Medidor Interno,Setor 02,Saúde,Setor 02,SubSetor 02,Florianópolis - Trindade,Trindade,Caldeiras do HU,Sem faturamento,,Sem cobrança,Sim,Medidor interno,UFSC,,2024-10-15
103,M004,,Interno,Medidor Interno,Setor 02,Saúde,Setor 02,SubSetor 02,Florianópolis - Trindade,Trindade,Instituto de Engenharia Biomédica,Sem faturamento,,Sem cobrança,Sim,Medidor interno,UFSC,,2024-10-15
104,M005,,Interno,Medidor Interno,Setor 02,Saúde,Setor 02,SubSetor 02,Florianópolis - Trindade,Trindade,Medidor interno HU,Sem faturamento,,Sem cobrança,Sim,Medidor interno,UFSC,,2024-10-15
105,M006,,Interno,Medidor Interno,Setor 02,Saúde,Setor 02,SubSetor 02,Florianópolis - Trindade,Trindade,Medidor interno HU,Sem faturamento,,Sem cobrança,Sim,Medidor interno,UFSC,,2024-10-15
106,M007,,Interno,Medidor Interno,Setor 00,Eixo Central,Setor 00,SubSetor 00,Florianópolis - Trindade,Trindade,Restaurante Universitário,Sem faturamento,,Sem cobrança,Sim,Medidor interno,UFSC,,2024-10-15
